"open","high","low","close","volume","ema26","next1"
739.73,759.11,737.15,753.99,10.13,782.8778127,799.04
753.99,817.56,750,799.04,18.64,784.0750118,808.52
799.04,819.9,771.18,808.52,76.87,785.8857517,827.65
808.52,840,783.02,827.65,33.23,788.9793997,913.93
827.65,980,827.41,913.93,54.92,798.2349997,936.27
898.73,1019,886.44,936.27,75.02,808.4598146,837.02
936.27,945,810,837.02,49.39,810.5753838,824.98
837.02,899.84,788,824.98,19.31,811.6423924,850.29
824.98,870,807.42,850.29,8,814.5051782,857.33
850.29,857.34,817,857.33,8.19,817.6773872,899.84
857.33,918.05,857.17,899.84,18.75,823.7635067,860
899.84,900.94,833,860,25.43,826.4476914,850
860,860,815,850,25.81,828.1923068,831
850,877.29,805,831,31.72,828.4002841,850
831,864,828,850,6.71,830.0002631,826.97
850,865,824,826.97,27.71,829.7757991,804.35
826.97,835.06,788,804.35,26.35,827.8924066,819.51
804.35,844.14,804,819.51,18.78,827.2714876,835
819.51,848.9,819.51,835,11.94,827.84397,843.77
835,855,830.1,843.77,4.45,829.0236759,829.01
843.77,845.99,820.1,829.01,6.9,829.0226629,830.89
829.01,834.53,821,830.89,1.71,829.1609842,830.89
830.89,830.89,821,830.89,11.58,829.2890594,794.93
830.89,836.35,783,794.93,24.52,826.7439439,812.02
794.93,830,794.93,812.02,9.93,825.6532814,826.72
812.02,840,812.02,826.72,6.57,825.7322976,790
826.72,840,790,790,23.97,823.0854607,815.99
790,830,775,815.99,27.48,822.559871,795
815.99,826.23,795,795,18.92,820.5183991,808
795,815.23,787.01,808,27.02,819.5911103,812.19
808,812.63,801,812.19,12.87,819.0428799,825
812.19,835,803.41,825,6.47,819.484148,814.86
825,835,814.86,814.86,7.25,819.1416186,819.78
814.86,819.8,803.65,819.78,7.27,819.1889061,802.4
819.78,819.78,799.58,802.4,11.43,817.9452834,802.69
802.4,815.9,802.4,802.69,10.42,816.8152624,767.61
802.69,803.73,767.61,767.61,39.76,813.1704282,723
767.61,775.21,666.35,723,63.49,806.4911372,693.65
723,730,682.61,693.65,30.6,798.1325344,696.49
693.65,756.1,680.01,696.49,36.77,790.6034578,690.2
696.49,748,550,690.2,31.78,783.1661646,672.6
690.2,720,660,672.6,32.13,774.9760784,670.67
672.6,714.56,651.31,670.67,18.85,767.2497022,623.95
670.67,680,595.63,623.95,44.68,756.6349094,670.34
623.95,710,586.43,670.34,42.45,750.2426939,656.28
670.34,682.78,646.88,656.28,11.81,743.2824944,635.79
656.28,668.82,600,635.79,18.52,735.3200874,638.1
635.79,679.06,593.68,638.1,39.7,728.1185994,636.52
638.1,652.51,623,636.52,20.84,721.333518,630.16
636.52,640,602.91,630.16,13,714.5799241,575.72
630.16,641.36,565.57,575.72,49.97,704.2940038,572.27
575.72,597.05,547.72,572.27,28.37,694.5144479,605.43
572.27,620.9,567.55,605.43,13.24,687.9155999,616.88
605.43,650.28,600.91,616.88,21.05,682.6537036,572
616.88,616.9,540.64,572,29.7,674.457133,522.84
572,572,450,522.84,60.12,663.2262343,593.14
522.84,650,522.84,593.14,105.88,658.0346614,596.49
593.14,629.9,580.5,596.49,45.84,653.4757975,573.94
596.49,599,570,573.94,29.32,647.584257,575
573.94,605,550,575,8.04,642.2076454,578
575,588.08,572.41,578,2.16,637.4515235,669.75
578,700,578,669.75,67.58,639.8440032,680.6
669.75,720,661.48,680.6,27.98,642.8629659,680.99
680.6,690.17,660.01,680.99,5.23,645.6871907,665.66
680.99,693,660.1,665.66,4.39,647.166658,641.48
665.66,680.46,628.73,641.48,13.85,646.7454241,636.01
641.48,667.99,623,636.01,4.22,645.9502075,641.57
636.01,658,629.05,641.57,1.82,645.6257477,642.08
641.57,684.5,630,642.08,6.5,645.3630997,641.82
642.08,665.93,560,641.82,18.36,645.1006479,651.08
641.82,660,550.28,651.08,7.9,645.5435629,653.4
651.08,657.99,620,653.4,4.78,646.1255212,631.24
653.4,654.91,550,631.24,24.79,645.02289,646
631.24,646,618.29,646,3.2,645.0952685,651.95
646,652,639,651.95,7.62,645.6030264,637.73
651.95,651.95,616,637.73,1.91,645.0198392,619.78
637.73,637.73,610.01,619.78,9.05,643.1502215,620
619.78,633.66,612.22,620,4.86,641.4353903,590
620,625.02,590,590,8.49,637.6253614,590
590,615.23,580,590,16.27,634.0975568,572.3
590,596,554.05,572.3,11.84,629.51996,574.22
572.3,596,566.36,574.22,1.31,625.4236667,585.4
574.22,592.54,554.5,585.4,5.69,622.4589506,579.02
585.4,591.15,579,579.02,5.73,619.2412506,585.09
579.02,641.14,579,585.09,13.33,616.7115283,502.78
585.09,599.27,502.78,502.78,34.78,608.2721559,516.48
502.78,553,500,516.48,44.09,601.4727369,514.99
516.48,518,505,514.99,6.11,595.0666083,467.1
514.99,514.99,436.07,467.1,33.23,585.5876002,462.39
467.1,530,443.35,462.39,17.6,576.4618521,490.73
462.39,503.23,462.39,490.73,17.55,570.1113445,443.63
490.73,497.15,443.63,443.63,15.11,560.742356,458.6
443.63,463.7,426.45,458.6,15.54,553.1762556,458.84
458.6,550,440,458.84,21.14,546.1883848,467.85
458.84,467.85,447.57,467.85,0.9441,540.3855415,461.82
467.85,469.44,450,461.82,5.12,534.5658717,462.08
461.82,475.32,450,462.08,7.09,529.1965479,454.39
462.08,465.82,454.38,454.39,3.32,523.6553221,461.09
454.39,462.09,450,461.09,1.27,519.0208538,383.08
461.09,461.09,383.08,383.08,17.11,508.951161,430
383.08,583.75,353.76,430,16.22,503.1029268,448
430,450,429.01,448,10.71,499.0212285,429.79
448,448,407.07,429.79,9.32,493.8929894,459.38
429.79,480.07,411.34,459.38,42.64,491.3364716,523.74
459.38,573.67,450.5,523.74,30.52,493.736733,523.52
523.74,550.8,490.56,523.52,51.73,495.9429009,504.29
523.52,530.36,495.53,504.29,16.15,496.5612046,485.56
504.29,515,477.19,485.56,31.51,495.7463005,504.5
485.56,525.28,479.96,504.5,10.97,496.3947227,504.73
504.49,510,500,504.73,1.54,497.0121507,496.42
504.73,517.31,485,496.42,17.33,496.9682876,489.72
496.42,510.49,484.62,489.72,7.49,496.4313774,495.62
489.72,504.5,489,495.62,7.02,496.3712754,501.95
495.62,501.95,490,501.95,3.58,496.7845143,471.02
501.95,503.48,449,471.02,27.38,494.8760317,463.7
471.02,476.18,456.75,463.7,3.39,492.566696,438.72
463.7,463.7,438.72,438.72,2.91,488.5780519,446.18
438.72,455.09,429.09,446.18,6.12,485.4374555,445.68
446.18,454.62,435.65,445.68,7.31,482.4924588,448.34
445.68,452.82,441.23,448.34,9.06,479.962647,459.32
448.34,464.42,448,459.32,14.51,478.433562,455.16
459.32,459.32,446.49,455.16,7.08,476.7095945,441.04
455.16,455.16,432.43,441.04,8.5,474.0674023,442
441.04,445.4,431.17,442,1.77,471.6920392,429.18
442,442,429.18,429.18,5.66,468.5429992,431.87
429.18,439.69,422.19,431.87,5.75,465.8264808,441.89
431.87,452.74,431.61,441.89,20.36,464.0534081,448.26
441.89,452,441.81,448.26,5.79,462.883526,450.63
448.26,459.22,441.81,450.63,4.04,461.9758574,454.99
450.63,458,446.1,454.99,5.53,461.4583865,441.5
454.99,454.99,432.88,441.5,11.53,459.9799875,440.82
441.5,445.22,432.21,440.82,7.19,458.5607292,440.78
440.82,444.76,436.45,440.78,4.51,457.2436381,445.52
440.78,445.52,440.78,445.52,0.8711,456.3752205,449.59
445.52,449.59,440.89,449.59,3.02,455.8726116,453.83
449.59,453.83,447.1,453.83,5.59,455.721307,453.83
453.83,453.83,446.2,453.83,0.2061,455.5812102,445.56
453.83,453.83,445.56,445.56,2.58,454.8388983,445.56
445.56,445.56,445.56,445.56,0,454.1515725,493.43
445.56,498.84,445.56,493.43,25.28,457.0610857,494.77
493.43,497.67,490.85,494.77,4.24,459.8543386,530
494.77,530,494.77,530,32.85,465.0503135,521.47
530,548.05,515.31,521.47,14.82,469.2295495,530
521.47,530,515.21,530,2.62,473.7310644,574.05
530,589,530,574.05,15.83,481.1620967,583.2
574.05,589.11,563.68,583.2,10.95,488.7204599,570.92
583.2,594.64,538.84,570.92,26.92,494.8093147,575.83
570.92,589.16,565.22,575.83,4.52,500.8108469,570.49
575.83,576.26,564.9,570.49,2.18,505.9722657,616.08
570.49,628.61,566.15,616.08,18.38,514.1283941,628.13
616.08,628.13,603.87,628.13,15.4,522.5729575,627.54
628.13,673.37,621.79,627.54,37.05,530.348294,665.58
627.54,672.64,621.79,665.58,10.32,540.3654574,671.43
665.58,677.91,652.26,671.43,16.68,550.0739421,650.48
671.43,671.43,525,650.48,59.16,557.5114278,657.01
650.48,669.75,650.45,657.01,15.16,564.8816924,653.4
657.01,660,653.4,653.4,5.27,571.4386041,659.8
653.4,659.8,636.68,659.8,4.75,577.9838927,646.54
659.8,659.8,646,646.54,0.888,583.0621229,643.44
646.54,656.44,636.5,643.44,4.65,587.5345582,646.89
643.44,657.72,643.44,646.89,7.13,591.9312576,617.99
646.89,649.93,617.99,617.99,19.6,593.8615348,565.56
617.99,637.06,552,565.56,75.97,591.7651248,589.68
565.56,617.31,565.56,589.68,19.43,591.6106711,575.6
589.68,600,542.96,575.6,15.89,590.4246955,589.55
575.6,589.55,534.28,589.55,34.51,590.3599032,597.14
589.55,612.91,574.18,597.14,10.67,590.8621326,608.97
597.14,608.98,586.25,608.97,2.8,592.2034561,605.89
608.97,625,603.41,605.89,10,593.2172742,595.93
605.89,627.05,594.12,595.93,8.41,593.4182169,593.9
595.93,602.79,578.51,593.9,5.81,593.4539045,590.59
593.9,598.5,581.09,590.59,0.7642,593.2417634,596.24
590.59,602.33,584.75,596.24,8.34,593.463855,584.42
596.24,596.24,584.42,584.42,2.64,592.7939398,586.15
584.42,595.23,576.13,586.15,2.85,592.3017961,564.42
586.15,586.15,557.43,564.42,29.23,590.2364779,583.26
564.42,583.26,564.42,583.26,2.76,589.7197018,597.69
583.26,600,575.35,597.69,21.78,590.3100942,596.12
597.69,604.38,590.76,596.12,4.14,590.7404576,589.76
596.12,602.3,589.76,589.76,0.9983,590.6678311,637.07
589.76,645,587.72,637.07,18.67,594.1050288,650
637.07,657.83,634.16,650,12.04,598.2453971,645.77
650,658.87,638,645.77,25.77,601.765738,647.55
645.77,655.08,638.89,647.55,6.04,605.1571648,635.25
647.55,655,622.6,635.25,10.3,607.3862637,628.99
635.25,635.25,618,628.99,3.74,608.9865405,629.1
628.99,652.78,628.99,629.1,2.25,610.4764264,625.99
629.1,638.97,614.74,625.99,6.47,611.62558,617.04
625.99,626.87,614.74,617.04,1.44,612.0266481,627.9
617.04,627.9,615.35,627.9,1.63,613.202452,614.47
627.9,632.11,614.47,614.47,0.6427,613.2963444,629.46
614.47,629.46,614.47,629.46,1.5,614.4936522,632
629.46,639.34,629.46,632,0.6899,615.7904187,626.5
632,653.49,625.29,626.5,1.05,616.5837211,626.23
626.5,632.67,618.14,626.23,1.34,617.2982602,620.03
626.23,626.23,620.03,620.03,0.18,617.5006113,625.22
620.03,626.16,612.9,625.22,7.41,618.0724179,624.98
625.22,630.01,610.35,624.98,0.9631,618.5840906,626
624.98,629,615.17,626,12.29,619.1334173,630
626,630,626,630,1.56,619.9383493,619
630,630,619,619,0.5068,619.868842,629.77
619,629.77,619,629.77,0.0006352,620.6022611,618.69
629.77,629.77,618.69,618.69,8.44,620.4606121,618.62
618.69,623.98,610,618.62,7.5,620.3242705,605.64
618.62,623.43,593.86,605.64,17.72,619.2365467,596.08
605.64,623.22,593.8,596.08,8.67,617.521247,600
596.08,607.96,593.8,600,5.06,616.2233768,600
600,600,600,600,0.1545,615.0216452,591.9
600,600,574.58,591.9,4.09,613.3089308,583.21
591.9,597.66,575.07,583.21,2.68,611.0793803,566.75
583.21,588.98,566.75,566.75,11.67,607.7957225,590.21
566.75,591.95,566.75,590.21,33.05,606.4930764,596.4
590.21,602.36,584.77,596.4,3.05,605.7454411,590.49
596.4,601.18,590.49,590.49,2.57,604.6154084,578.86
590.49,594.8,578.86,578.86,1.79,602.7076004,596.25
578.86,596.25,578.86,596.25,4.11,602.2292596,579
596.25,598.03,579,579,9.04,600.5085737,579
579,579,579,579,0,598.9153461,580.58
579,593,577.24,580.58,16.81,597.5571723,590
580.58,590,580.58,590,0.4273,596.9973817,590
590,590,578.14,590,7.8,596.4790572,583.24
590,595.36,583.24,583.24,1.66,595.4983863,572.77
583.24,595.36,572.77,572.77,0.4779,593.8148021,580
572.77,580,566.99,580,3.82,592.7914834,535.08
580,580,531.64,535.08,4.35,588.5165587,523.76
535.08,553.83,501,523.76,31.83,583.7197766,530
523.76,530,501,530,22.87,579.7405339,503.52
530,530,500,503.52,12.1,574.0945684,500
503.52,539.99,500,500,2.65,568.6060819,455
500,505,455,455,28.55,560.1908165,500.5
455,500.5,455,500.5,77.76,555.7692746,530
474.02,530,474.02,530,13.53,553.8604394,505
530,530,500.01,505,4.62,550.2411476,529.95
505,529.97,482.22,529.95,9.62,548.7380996,525
529.95,529.95,482.27,525,0.5639,546.9797219,524.88
525,525,524.88,524.88,0.7,545.3427055,516.12
524.88,524.88,490.1,516.12,26.86,543.1780606,516.12
516.12,516.12,516.12,516.12,0,541.1737598,524.85
516.12,524.85,516.12,524.85,1.31,539.9645924,495.08
524.85,524.85,495.08,495.08,0.02382,536.6398078,524.88
495.08,524.88,495.08,524.88,0.5178,535.7687109,524.27
524.88,524.88,495.26,524.27,0.4584,534.9169546,509.98
524.27,524.27,490.5,509.98,5.61,533.0697727,490.01
509.98,509.98,490.01,490.01,0.09953,529.8801599,524.77
490.01,524.77,490.01,524.77,3.811e-05,529.5016296,524.77
524.77,524.77,524.77,524.77,0,529.1511385,475.01
524.77,524.77,475,475.01,3.41,525.1406838,475.01
475.01,475.01,475.01,475.01,0,521.4272998,524.77
475.01,524.77,475.01,524.77,0.1769,521.6749072,480
524.77,524.77,480,480,1.24,518.5878771,488.77
480,524.77,465,488.77,41.14,516.3791454,475
488.77,488.77,465,475,0.5077,513.3140235,475
475,475,475,475,0.02,510.4759477,475
475,475,475,475,1.01,507.8480998,475
475,475,475,475,0,505.4149072,474.77
475,475,474.77,474.77,0.1492,503.1449141,490
474.77,490,474.77,490,0.212,502.1712167,465.01
490,490,465.01,465.01,3.08,499.418534,465
465.01,528,465,465,2.76,496.869013,445
465,465,445,445,5.14,493.0268639,503.18
445,503.18,400,503.18,18.12,493.778948,375.94
503.18,503.18,375.94,375.94,1.5,485.050137,385
375.94,466.67,375.94,385,0.1559,477.6390158,385.01
385,450,385,385.01,1.2,470.7776072,404.83
385.01,425,295,404.83,24.18,465.8925993,449.81
404.83,453,404.83,449.81,6.9,464.7012956,433.15
449.81,449.81,412.34,433.15,4.09,462.3641626,397
433.15,433.15,397,397,4.51,457.5223728,397
397,397,397,397,0,453.0392341,397
397,397,397,397,0,448.8881797,390
397,450,387.63,390,10.78,444.5260923,370.94
390,394,370.01,370.94,0.7155,439.0752706,380.02
370.94,393.22,370.12,380.02,6.68,434.7008062,390
380.02,390,380.02,390,2,431.3896353,370.11
390,390,370.1,370.11,0.275,426.8504031,355
370.11,389.98,355,355,20.27,421.528151,322.11
355,369.63,322.11,322.11,38.11,414.1638435,330
322.11,330,273.33,330,18.72,407.9294847,349.85
330,349.85,300,349.85,53.41,403.6273007,335
349.85,349.85,315.06,335,0.12,398.5437969,359.98
335,359.98,335,359.98,8.1,395.6872194,370.19
359.98,400,335.16,370.19,30.22,393.7985365,355.59
370.19,378.99,355.59,355.59,7.78,390.9682745,357.18
355.59,379,355.59,357.18,0.4618,388.4654394,379
357.18,379,352.83,379,16.63,387.7642957,400
379,400,370.1,400,20.85,388.6706442,411.26
400,418.99,395.28,411.26,29.73,390.3439298,400.31
411.26,411.26,385.48,400.31,11.23,391.0821572,389.14
400.31,400.31,374.61,389.14,16.08,390.9382937,381.01
389.14,389.14,376.73,381.01,0.05216,390.2028645,395.79
381.01,395.79,371,395.79,0.9598,390.6167264,395.79
395.79,395.79,395.79,395.79,0,390.9999319,391.24
395.79,395.79,391.24,391.24,0.05,391.0177147,391.58
391.24,391.58,371,391.58,9.92,391.0593655,388.71
391.58,393.49,371.38,388.71,2.66,390.8853384,368.64
388.71,388.71,365,368.64,11.95,389.2375356,373.35
368.64,373.69,355,373.35,7.6,388.0606811,359.51
373.35,373.35,355,359.51,7.81,385.9458158,362.5
359.51,384.72,359.51,362.5,6.12,384.2090887,364.3
362.5,368.15,362.5,364.3,0.04324,382.7343414,365.13
364.3,365.13,352.01,365.13,0.5898,381.4303161,335.07
365.13,365.13,335.01,335.07,8.87,377.9962186,346.02
335.07,350,335,346.02,7.56,375.6276098,347.95
346.02,347.95,344.29,347.95,0.03559,373.5774165,320
347.95,347.95,320,320,5.66,369.608719,323.94
320,325.19,320,323.94,0.1154,366.2258509,325
323.94,325.19,323.94,325,4.97,363.1720842,325
325,330,325,325,16.87,360.3445224,328.2
325,348.2,325,328.2,9.73,357.9634467,348
328.2,349.17,328.2,348,0.04009,357.2254136,347.08
348,348,333,347.08,6.6,356.4739015,350
347.08,350,330.16,350,4.81,355.9943532,350
350,350,338.66,350,19.36,355.550327,355
350,370,350,355,3.57,355.5095621,371.7
355,372.63,355,371.7,5.42,356.7088538,423.48
371.7,430.36,371.7,423.48,219.46,361.6548646,415
423.48,450,380,415,65.88,365.6063561,395
415,417.77,395,395,23.16,367.7836631,379.99
395,395,378.97,379.99,10.68,368.6878362,380
379.99,395,379.56,380,1.56,369.5257742,400
380,414.26,376,400,25.27,371.7831243,375.02
400,400,370.39,375.02,13.23,372.0228929,390
375.02,392.96,375.02,390,0.9256,373.3545304,354.38
390,390,354.33,354.38,67.07,371.9490097,360
354.38,360,342.66,360,1.64,371.0638978,370
360,370,360,370,4.05,370.9850906,370
370,370,360,370,4.76,370.9121209,372
370,385,370,372,11.24,370.9927045,376
372,390,372,376,10.13,371.3636153,372.87
376,389.94,366.42,372.87,19.24,371.4751994,376.9
372.87,385.69,365.01,376.9,2.38,371.8770365,387
376.9,387,360.52,387,23.27,372.997256,379.09
387,387,379.09,379.09,4.2,373.4485703,386.32
379.09,386.32,379.09,386.32,0.001595,374.4020096,374.03
386.32,386.74,370.13,374.03,4.18,374.3744533,386.15
374.03,386.15,372.91,386.15,3.81,375.246716,380
386.15,386.15,371.46,380,23.49,375.5988111,379.75
380,380,364.72,379.75,3.76,375.9063066,375.19
379.75,380,375.19,375.19,4.68,375.8532469,374
375.19,394.59,367,374,34.17,375.7159693,373.07
374,389.98,370.43,373.07,0.3818,375.5199716,362.58
373.07,376.06,360.29,362.58,4.53,374.5614552,345.49
362.58,376,342.46,345.49,6.64,372.4080141,345.56
345.49,357.5,345.49,345.56,0.1607,370.4192723,372.12
345.56,372.12,342.5,372.12,0.7364,370.5452521,360
372.12,372.12,346.77,360,0.9118,369.7641223,352
360,360,350,352,33.15,368.4482614,350
352,358.98,350,350,0.6043,367.0817235,343.07
350,358.98,342.04,343.07,22.78,365.3030773,330.09
342.04,358.92,330.09,330.09,4.45,362.6947012,329.99
330.09,355.33,315.02,329.99,30.11,360.2721308,320
329.99,332.17,310,320,5.86,357.28901,349.98
320,368.12,310.03,349.98,23.07,356.7476018,348.99
349.98,349.98,348.99,348.99,1.87,356.1729647,325.01
348.99,348.99,319.67,325.01,39.87,353.8645969,327.06
325.01,327.06,325.01,327.06,1.08,351.8790712,338.75
327.06,342.08,327.06,338.75,0.5716,350.9065474,320.38
338.75,338.75,320.38,320.38,4.11,348.6453217,320.38
320.38,320.38,320.38,320.38,0,346.5515941,320.48
320.38,320.48,320.38,320.48,0.01,344.620365,313.37
320.48,320.48,313.37,313.37,3.74,342.3055231,313.01
313.37,320.04,313.01,313.01,1.9,340.1354844,314.76
313.01,325,313.01,314.76,29.97,338.2558188,313
314.76,338.95,313,313,4.55,336.3850175,319.14
313,319.14,313,319.14,9.61,335.1076088,325
319.14,325,314.03,325,0.435,334.358897,315.3
325,325,313.18,315.3,8.92,332.9471268,295
315.3,319.93,295,295,52.48,330.1362286,265.87
295,297.48,265.87,265.87,25.49,325.3757672,277.4
265.87,280,252.32,277.4,61.92,321.8220067,281.15
277.4,293.66,260,281.15,8.48,318.8092654,300
281.15,300,269,300,7.71,317.4159865,283.53
300,300,283.53,283.53,8.34,314.9059134,283.5
283.53,295.72,283,283.5,3.5,312.5795495,277.78
283.5,300,274.73,277.78,53.89,310.0018051,265
277.78,277.78,265,265,1.77,306.668338,265.06
265,300,263.02,265.06,59.03,303.5862389,216
265.06,268,215.09,216,200.71,297.0983694,175
216,230.99,175,175,204.92,288.0540457,219
175,236.47,175,219,133.32,282.9389312,213.36
219,219,195.2,213.36,44.71,277.7849363,200
213.36,213.36,196,200,9.22,272.0230892,219.98
200,220,199.5,219.98,31.12,268.1680455,211.01
219.98,219.98,206,211.01,7.54,263.9341162,219.82
211.01,219.84,208.4,219.82,5.22,260.6664039,224.49
219.82,225.91,206.1,224.49,47.35,257.9866703,227.02
224.49,241.02,224.49,227.02,26.41,255.6928429,228.04
227.02,231.24,222.68,228.04,10.24,253.6444841,250.87
228.04,251.36,228.02,250.87,108.7,253.4389668,257.06
250.87,257.06,241.28,257.06,46.71,253.7071915,270
257.06,307.05,250.04,270,86.66,254.9140662,250.85
270,270,205,250.85,59.44,254.6130242,248
250.85,280,248,248,66.57,254.1231706,231.83
248,248,222.28,231.83,36.22,252.4718246,220
231.83,239.36,220,220,55.19,250.0665043,216.69
220,239.98,216.69,216.69,13.39,247.5941706,239.98
216.69,239.98,210.01,239.98,5.1,247.030158,228
239.98,239.98,223.94,228,5.23,245.6205167,235.45
228,246.93,228,235.45,18.47,244.8671451,228.9
235.45,235.45,221.85,228.9,15.17,243.6843936,217
228.9,228.9,215.25,217,17.34,241.7077718,221.92
217,225,215,221.92,12.4,240.2420109,229.66
221.92,231.58,218.44,229.66,1.81,239.4581583,229.23
229.66,229.66,218.81,229.23,14.25,238.7005169,220.5
229.23,229.23,215,220.5,16.66,237.3523305,215.01
220.5,221.92,215,215.01,3.39,235.697343,207.2
215.01,215.01,205,207.2,5.63,233.5864287,224
207.2,224,207.2,224,2.52,232.8763229,232.8
224,240,207,232.8,58.79,232.8706694,250
232.8,250,228,250,44.01,234.1395087,233.94
250,264.8,228,233.94,48.46,234.1247303,250.66
233.94,250.66,227.67,250.66,27.26,235.349565,249.98
250.66,250.66,230.3,249.98,7.42,236.433301,236
249.98,249.98,230.3,236,14.94,236.4012046,240.1
236,244.06,236,240.1,6.17,236.6751894,241.03
240.1,248.5,240.1,241.03,40.23,236.997768,240.12
241.03,244.09,240.09,240.12,0.2377,237.2290444,235
240.12,247.44,235,235,21.4,237.06393,236.12
235,239.9,234.08,236.12,28.05,236.9940093,238
236.12,238,236.12,238,0.88,237.0685271,237.02
238,240.18,237.02,237.02,6.48,237.0649325,239.64
237.02,239.64,235,239.64,22.71,237.2556783,256
239.64,259.42,238,256,122.77,238.6441465,250.13
256,256,244,250.13,43.61,239.4949505,250.36
250.13,261.5,240.01,250.36,24.21,240.299769,271.37
250.36,280,249.89,271.37,53.78,242.6012676,277
271.37,280.09,264.69,277,24.73,245.1493218,269.4
277,285.73,267.32,269.4,36.32,246.9456684,274.49
269.4,278.61,265.17,274.49,16.6,248.9859892,260
274.49,275.46,260,260,10.93,249.8018419,269.93
260,270,260,269.93,0.1874,251.2928166,270.08
269.93,280,269.93,270.08,3.76,252.6844598,297
270.08,297.51,270.08,297,18.78,255.9670924,295
297,300,287.21,295,26.6,258.8584189,295.68
295,299.94,289,295.68,37.08,261.5859434,290.28
295.68,296.94,289.37,290.28,10.73,263.7114291,285
290.28,293,272,285,77.95,265.2883603,282.33
285,288.63,272.64,282.33,54.76,266.5507039,288
282.33,288,281.51,288,0.1454,268.1395407,294.44
288,294.44,288,294.44,32.99,270.0877229,284
294.44,294.96,284,284,17.76,271.1182619,257.48
284,288.2,250,257.48,37.81,270.1080203,255
257.48,280.87,253.45,255,6.26,268.9889077,261.65
255,271,255,261.65,1.21,268.4452849,259.68
261.65,272.49,259.68,259.68,0.1201,267.7960045,271.34
259.68,271.34,258.06,271.34,18.18,268.0585227,266.58
271.34,272,263,266.58,9.08,267.9490025,255.33
266.58,266.58,245,255.33,28.13,267.0142616,250.98
255.33,255.33,237.69,250.98,10.57,265.8265385,251.9
250.98,269,250.05,251.9,14.12,264.794943,252
251.9,252,242.88,252,0.6849,263.8471695,252.5
252,255.7,247.81,252.5,2.12,263.0066384,243.59
252.5,252.5,240.44,243.59,4.38,261.5683689,269
243.59,269,240.19,269,4.65,262.1188601,244.42
269,269,244.42,244.42,1.03,260.8078334,242.98
244.42,249.24,241.06,242.98,17.81,259.4872532,251.2
242.98,255.93,240,251.2,16.16,258.8733826,252.9
251.2,256,249.37,252.9,6.6,258.4309098,249.56
252.9,255,249.52,249.56,9.16,257.7738054,259.99
249.56,259.99,249.56,259.99,1.45,257.9379679,254.38
259.99,262.42,253.01,254.38,8.99,257.6744147,248.84
254.42,256.88,246.51,248.84,25.79,257.0200136,249.46
248.84,258.24,244.39,249.46,13.77,256.4600126,249.27
249.46,249.46,239.96,249.27,7.55,255.9274191,242.5
249.27,249.27,232.85,242.5,37.67,254.9327955,232.58
242.5,242.5,230.76,232.58,23.62,253.2770328,240
232.58,240,232.58,240,18.94,252.2935489,227.94
240,254.38,223.54,227.94,21.32,250.4895823,221.98
227.94,231.85,216.5,221.98,41.27,248.3777614,220.11
221.98,224,219.66,220.11,12.48,246.2838532,233.6
220.11,234.7,220.11,233.6,9.11,245.3443085,223.01
233.6,233.6,223.01,223.01,2.31,243.6899153,222.02
223.01,227.49,222,222.02,4.91,242.0847364,226.79
222.02,229,222.02,226.79,10.28,240.9517929,223.6
226.79,228,223.26,223.6,39.33,239.6664749,234.74
223.6,235.23,223.6,234.74,93.12,239.3015509,233.27
234.74,238.89,232.09,233.27,41.04,238.8547693,234.99
233.27,235.69,231,234.99,23.61,238.5684901,230.96
234.99,237.58,227.96,230.96,42.22,238.0048983,227.49
230.96,232.14,226.03,227.49,5.8,237.2260169,220.15
227.49,227.49,216.34,220.15,35.01,235.9611268,228.26
220.15,238.56,217.34,228.26,28.26,235.3906729,224.84
228.26,233.25,224,224.84,42.78,234.6091416,226
224.84,232,224,226,24.59,233.9714274,237.31
226,239.65,225.69,237.31,49.81,234.2187291,232.1
237.31,238.97,231.7,232.1,30.42,234.0617862,234.15
232.1,239.09,231.21,234.15,31.21,234.0683205,240.36
